,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
103,CO2,PW91,520,1,0,0.1,-23.1529512,0.30308903350000005,298.15,0.09831385244916024,-22.75154831405084,-4.080562177045822,100000.0,0.002223501471064823,-23.41448527764882
104,CO,PW91,520,1,0,0.1,-14.85681964,0.13191841099999999,298.15,0.08993314982460546,-14.634968079175394,-1.144812342975661,100000.0,0.0020501292005169996,-15.246214100309537
105,HCOOH,PW91,520,1,0,0.1,-30.36485847,0.8821343145,298.15,0.11316609651099796,-29.369558058989004,-3.9244514030036863,5714.155064883787,0.0028287879009916287,-30.212961171669658
106,CH3OH,PW91,520,1,0,0.1,-30.57578262,1.3482826220000002,298.15,0.11841742116350584,-29.109082576836492,-2.0814769872284744,16938.450392599163,0.002636322607425297,-29.895102162240345
107,CH4,PW91,520,1,0,0.1,-24.15168029,1.177246709,298.15,0.10407618592560497,-22.870357395074397,-0.7762174598206185,100000.0,0.001932198212962439,-23.446442292269147
108,C2H4,PW91,520,1,0,0.1,-32.155188,1.347055492,298.15,0.10921021223710436,-30.698922295762898,0.5420512987574153,100000.0,0.0022742595356323512,-31.376992776311685
109,C2H6,PW91,520,1,0,0.1,-40.67271262,1.9670232485,298.15,0.12159610860019243,-38.584093262899806,-0.8716184884019238,100000.0,0.002366106179733004,-39.2895478203872
110,CH2O,PW91,520,1,0,0.1,-22.41895822,0.70350902,298.15,0.10392559864982531,-21.611523601350175,,100000.0,0.0022695360852491657,-22.288185785167215
111,N2,PW91,520,1,0,0.1,-16.69915455,0.149474505,298.15,0.08992664072744874,-16.45975340427255,0.0,100000.0,0.00198721785059028,-17.052242406426043
112,NH3,PW91,520,1,0,0.1,-19.83085926,0.905115885,298.15,0.10388264527736701,-18.821860729722633,-0.47700514290652546,100000.0,0.0019971343592161614,-19.41730633892293
113,H2O,PW91,520,1,0,1.0,-14.62418519,0.5609774375000001,298.15,0.1028916207130397,-13.96031613178696,-2.506445205454288,3166.74874006291,0.0022571971909890166,-14.633299474280335
114,H2,PW91,520,1,0,1.0,-6.8179091,0.2682324425,298.15,0.08992399686001606,-6.4597526606399835,0.0,100000.0,0.0013528941723894442,-6.863118058137896
115,O2,PW91,520,1,0,1.0,-9.78860627,0.096738706,298.15,0.09002784891183248,-9.601839715088168,0.0,100000.0,0.0021291805907543665,-10.236654908221583
116,H2O2,PW91,520,1,0,1.0,-18.64267624,0.6910553115,298.15,0.11625705637262618,-17.835363872127374,-1.4093333767692797,100000.0,0.002378471599594813,-18.54450517954657
117,CO2,PW91,520,1,0,1.0,-23.15314226,0.30307954400000003,298.15,0.09831493167934635,-22.751747784320653,-4.080562177045822,100000.0,0.002223506591719249,-23.414686274641745
118,CO,PW91,520,1,0,1.0,-14.85686614,0.13191848650000002,298.15,0.08993314977604785,-14.635014503723951,-1.144812342975661,100000.0,0.002050129077544774,-15.246260488193926
119,HCOOH,PW91,520,1,0,1.0,-30.36541383,0.881946436,298.15,0.11309007505395718,-29.370377318946044,-3.9244514030036863,5714.155064883787,0.002828404030496723,-30.21366598063864
120,CH3OH,PW91,520,1,0,1.0,-30.57623352,1.348266521,298.15,0.11841271576274726,-29.10955428323725,-2.0814769872284744,16938.450392599163,0.0026362865591636466,-29.895563120851893
121,CH4,PW91,520,1,0,1.0,-24.15169391,1.1772325174999998,298.15,0.10407636558704647,-22.870385026912952,-0.7762174598206185,100000.0,0.0019321990346887392,-23.4464701691054
122,C2H4,PW91,520,1,0,1.0,-32.15527386,1.347045342,298.15,0.10921018286147222,-30.69901833513853,0.5420512987574153,100000.0,0.00227425989812437,-31.37708892376431
123,C2H6,PW91,520,1,0,1.0,-40.67272747,1.9670052960000002,298.15,0.1215971201105821,-38.584125053889416,-0.8716184884019238,100000.0,0.002366112251656459,-39.28958142172079
124,CH2O,PW91,520,1,0,1.0,-22.41938044,0.7037065215,298.15,0.10392682696767164,-21.61174709153233,,100000.0,0.002269489250315517,-22.288395311513902
125,N2,PW91,520,1,0,1.0,-16.69918143,0.1494747895,298.15,0.08992664067392045,-16.45977999982608,0.0,100000.0,0.001987217739696728,-17.052268968916657
126,NH3,PW91,520,1,0,1.0,-19.83120794,0.9051245775000001,298.15,0.10388272960755929,-18.82220063289244,-0.47700514290652546,100000.0,0.0019971356056241313,-19.417646613709273
127,H2O,PW91,520,2,0,0.0,-14.27449884,0.5680529360000001,298.15,0.10286342078296229,-13.603582483217037,-2.506445205454288,3166.74874006291,0.002256636329833539,-14.276398604956906
128,H2,PW91,520,2,0,0.0,-6.80125016,0.269400444,298.15,0.08992399682198421,-6.441925719178016,0.0,100000.0,0.0013525993182286924,-6.845203205907901
129,O2,PW91,520,2,0,0.0,-9.77715147,0.0967761265,298.15,0.09002758672922084,-9.590347756770779,0.0,100000.0,0.0021292965051304324,-10.225197509775418
130,H2O2,PW91,520,2,0,0.0,-18.21846407,0.6949898745,298.15,0.1154326184654435,-17.408041577034556,-1.4093333767692797,100000.0,0.002372741431105859,-18.115474434718767
131,CO2,PW91,520,2,0,0.0,-22.99669408,0.3067879355,298.15,0.09798386664503861,-22.591922277854962,-4.080562177045822,100000.0,0.0022220570907140373,-23.25442859945135
132,CO,PW91,520,2,0,0.0,-14.81415219,0.13216930600000001,298.15,0.08993298985378193,-14.592049894146218,-1.144812342975661,100000.0,0.0020502129624126015,-15.203320888889534
133,HCOOH,PW91,520,2,0,0.0,-29.96822629,0.8875233280000001,298.15,0.11293528981665824,-28.967767672183342,-3.9244514030036863,5714.155064883787,0.0028277065974324275,-29.81084839420782
134,CH3OH,PW91,520,2,0,0.0,-30.3271302,1.3550073089999999,298.15,0.11774572791458615,-28.854377163085413,-2.0814769872284744,16938.450392599163,0.0026313024134950527,-29.638899977668963
135,CH4,PW91,520,2,0,0.0,-24.12722688,1.1871269345000002,298.15,0.10397344087830973,-22.83612650462169,-0.7762174598206185,100000.0,0.001931596239765225,-23.41203192350769
136,C2H4,PW91,520,2,0,0.0,-32.08456754,1.3511525225000003,298.15,0.1092174842412359,-30.624197533258766,0.5420512987574153,100000.0,0.002273941477785899,-31.30217318486063
137,C2H6,PW91,520,2,0,0.0,-40.64578764,1.9786975275,298.15,0.12156415347804339,-38.54552595902196,-0.8716184884019238,100000.0,0.0023662147782825987,-39.251012895166916
138,CH2O,PW91,520,2,0,0.0,-22.20493685,0.6991251465000001,298.15,0.10394147678247201,-21.401870226717527,,100000.0,0.0022690935808835884,-22.07840047785797
139,N2,PW91,520,2,0,0.0,-16.6716305,0.14925068300000002,298.15,0.08992668317471872,-16.43245313382528,0.0,100000.0,0.001987309656757913,-17.024969507987652
140,NH3,PW91,520,2,0,0.0,-19.60810837,0.9117985670000001,298.15,0.10392263406404989,-18.59238716893595,-0.47700514290652546,100000.0,0.0019970167052969496,-19.187797699620237
141,H2O,PW91,520,2,0,0.1,-14.62357173,0.5609981835,298.15,0.10289145760558216,-13.959682088894418,-2.506445205454288,3166.74874006291,0.0022571895720830577,-14.632663159810981
142,H2,PW91,520,2,0,0.1,-6.81789823,0.26823337950000004,298.15,0.08992399685998342,-6.4597408536400165,0.0,100000.0,0.0013528939226926612,-6.863106176690834
143,O2,PW91,520,2,0,0.1,-9.78860005,0.096738751,298.15,0.09002784859615627,-9.601833450403843,0.0,100000.0,0.0021291807064519916,-10.236648678032504
144,H2O2,PW91,520,2,0,0.1,-18.64265826,0.691899893,298.15,0.11606646028428225,-17.83469190671572,-1.4093333767692797,100000.0,0.002377100455959926,-18.543424407660172
145,CO2,PW91,520,2,0,0.1,-23.15279334,0.3030244675,298.15,0.09830542754699878,-22.751463444953,-4.080562177045822,100000.0,0.002223480061176329,-23.414394025192724
146,CO,PW91,520,2,0,0.1,-14.85846967,0.1319313415,298.15,0.08993314151179951,-14.6366051869882,-1.144812342975661,100000.0,0.002050126678285424,-15.247850456119
147,HCOOH,PW91,520,2,0,0.1,-30.36477992,0.8824750450000001,298.15,0.11317877695976675,-29.369126098040233,-3.9244514030036863,5714.155064883787,0.0028288392564820215,-30.212544522360346
148,CH3OH,PW91,520,2,0,0.1,-30.57575689,1.3484074995000002,298.15,0.11853329668717039,-29.10881609381283,-2.0814769872284744,16938.450392599163,0.00263722041165104,-29.89510335954659
149,CH4,PW91,520,2,0,0.1,-24.15162454,1.1775653555,298.15,0.10408027461227976,-22.86997890988772,-0.7762174598206185,100000.0,0.0019321757597456153,-23.446057112655875
150,C2H4,PW91,520,2,0,0.1,-32.1551966,1.3462515095,298.15,0.1092703292335706,-30.699674761266426,0.5420512987574153,100000.0,0.002274497824499535,-31.37781628764096
151,C2H6,PW91,520,2,0,0.1,-40.67267467,1.9680295065000002,298.15,0.1215027413680212,-38.58314242213198,-0.8716184884019238,100000.0,0.0023654849618667683,-39.288411763512556
152,CH2O,PW91,520,2,0,0.1,-22.41891408,0.7035950825,298.15,0.10392136378735517,-21.611397633712645,,100000.0,0.002269535863893651,-22.288059751532536
153,N2,PW91,520,2,0,0.1,-16.69915182,0.149466931,298.15,0.08992664215291332,-16.459758246847088,0.0,100000.0,0.001987218489436254,-17.052247439472506
154,NH3,PW91,520,2,0,0.1,-19.83081933,0.905066313,298.15,0.10388514551175632,-18.821867871488244,-0.47700514290652546,100000.0,0.001997129738004936,-19.417312102874416
155,H2O,PW91,520,2,0,1.0,-14.62415271,0.5610030655,298.15,0.10289149333224534,-13.960258151167755,-2.506445205454288,3166.74874006291,0.002257192622754232,-14.63324013164193
