,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
59,O2,PW91,400,2,0,0.1,-9.80551266,0.0966241585,298.15,0.09002865551358946,-9.61885984598641,0.0,100000.0,0.0021294255602514476,-10.253748076775379
60,H2O2,PW91,400,2,0,0.1,-18.68269486,0.688815477,298.15,0.1168080119522642,-17.877071371047737,-1.4093333767692797,100000.0,0.002382682037720218,-18.58746802059402
61,CO2,PW91,400,2,0,0.1,-23.19775459,0.303082371,298.15,0.09827213101690402,-22.796400087983095,-4.080562177045822,100000.0,0.0022233724395046175,-23.459298580821397
62,CO,PW91,400,2,0,0.1,-14.88454289,0.1315173025,298.15,0.0899334114329598,-14.66309217606704,-1.144812342975661,100000.0,0.0020501997428354515,-15.274359229393431
63,HCOOH,PW91,400,2,0,0.1,-30.41132377,0.8839123975,298.15,0.11310625780498784,-29.41430511469501,-3.9244514030036863,5714.155064883787,0.0028285736669619705,-30.25764435349972
64,CH3OH,PW91,400,2,0,0.1,-30.593026,1.3507379755,298.15,0.11803329415148367,-29.124254730348515,-2.0814769872284744,16938.450392599163,0.0026337909539358656,-29.909519503264494
65,CH4,PW91,400,2,0,0.1,-24.1435275,1.1803231825,298.15,0.10403811537259644,-22.859166202127405,-0.7762174598206185,100000.0,0.0019322251191932597,-23.435259121414877
66,C2H4,PW91,400,2,0,0.1,-32.15711275,1.3500263915000001,298.15,0.1091064275120015,-30.697979930988,0.5420512987574153,100000.0,0.002273775119311047,-31.375905982810586
67,C2H6,PW91,400,2,0,0.1,-40.66275972,1.9727181955,298.15,0.12127137531437948,-38.56877014918562,-0.8716184884019238,100000.0,0.0023643975914335908,-39.27371529107154
68,CH2O,PW91,400,2,0,0.1,-22.44255262,0.706965453,298.15,0.10388141749957791,-21.631705749500423,,100000.0,0.0022694768720931415,-22.308350278914993
69,N2,PW91,400,2,0,0.1,-16.70469257,0.1490361095,298.15,0.08992672450185679,-16.465729735998142,0.0,100000.0,0.001987390030880031,-17.058270073705025
70,NH3,PW91,400,2,0,0.1,-19.81689234,0.9036776850000001,298.15,0.1038219446934272,-18.80939271030657,-0.47700514290652546,100000.0,0.0019973671333711946,-19.404907721121194
71,H2O,PW91,400,2,0,1.0,-14.63550515,0.558048389,298.15,0.10289289342282049,-13.97456386757718,-2.506445205454288,3166.74874006291,0.0022573837808488083,-14.647602841837251
72,H2,PW91,400,2,0,1.0,-6.80692314,0.266351768,298.15,0.08992399692858993,-6.45064737507141,0.0,100000.0,0.001352985206980719,-6.854039914532712
73,O2,PW91,400,2,0,1.0,-9.80551885,0.096624182,298.15,0.09002865534748428,-9.618866012652516,0.0,100000.0,0.0021294254182893705,-10.253754201115491
74,H2O2,PW91,400,2,0,1.0,-18.68375832,0.6889249355,298.15,0.11669469845643587,-17.878138686043563,-1.4093333767692797,100000.0,0.002381796972628544,-18.588271453432764
75,CO2,PW91,400,2,0,1.0,-23.19794473,0.30309481650000003,298.15,0.09826828538047017,-22.79658162811953,-4.080562177045822,100000.0,0.0022233533556547946,-23.459474431108006
76,CO,PW91,400,2,0,1.0,-14.88459058,0.1315207985,298.15,0.08993340912120337,-14.663136372378796,-1.144812342975661,100000.0,0.0020501994662422115,-15.27440334323891
77,HCOOH,PW91,400,2,0,1.0,-30.41189962,0.8836554055,298.15,0.11313735048937523,-29.415106864010625,-3.9244514030036863,5714.155064883787,0.0028287340312889023,-30.25849391543941
78,CH3OH,PW91,400,2,0,1.0,-30.59347123,1.3506062525000002,298.15,0.11799862478285683,-29.12486635271714,-2.0814769872284744,16938.450392599163,0.002633578439674489,-29.910067764506092
79,CH4,PW91,400,2,0,1.0,-24.14354144,1.1803151939999998,298.15,0.10403821750687436,-22.859188028493126,-0.7762174598206185,100000.0,0.0019322256733525145,-23.435281113003178
80,C2H4,PW91,400,2,0,1.0,-32.15719963,1.3499035780000002,298.15,0.10911118558988431,-30.698184866410116,0.5420512987574153,100000.0,0.0022737960840410595,-31.37611716886696
81,C2H6,PW91,400,2,0,1.0,-40.66277479,1.9723857810000003,298.15,0.12132962127720459,-38.569059387722795,-0.8716184884019238,100000.0,0.0023647764631661693,-39.27411749021579
82,CH2O,PW91,400,2,0,1.0,-22.44299085,0.70705647,298.15,0.10388075263147678,-21.632053627368524,,100000.0,0.002269476375657707,-22.308698008770868
83,N2,PW91,400,2,0,1.0,-16.70471903,0.149019598,298.15,0.08992672770797469,-16.465772704292025,0.0,100000.0,0.001987389940183508,-17.058313014957736
84,NH3,PW91,400,2,0,1.0,-19.81724136,0.9033094934999999,298.15,0.10382613540862828,-18.810105731091372,-0.47700514290652546,100000.0,0.001997385242688327,-19.405626141198898
85,H2O,PW91,520,1,0,0.0,-14.28312609,0.5685847945,298.15,0.10286202299067737,-13.611679272509322,-2.506445205454288,3166.74874006291,0.0022564868634633983,-14.284450830850934
86,H2,PW91,520,1,0,0.0,-6.80172909,0.26948900400000003,298.15,0.08992399681923263,-6.442316089180768,0.0,100000.0,0.0013525408959011282,-6.845576157293689
87,O2,PW91,520,1,0,0.0,-9.79576884,0.0966979005,298.15,0.09002813555024029,-9.609042803949759,0.0,100000.0,0.0021293543198356536,-10.24390979440876
88,H2O2,PW91,520,1,0,0.0,-18.24950921,0.695843765,298.15,0.11574255353601193,-17.437922891463987,-1.4093333767692797,100000.0,0.0023748718846838455,-18.145990943882477
89,CO2,PW91,520,1,0,0.0,-23.00524658,0.30627054800000003,298.15,0.09800308768540994,-22.60097294431459,-4.080562177045822,100000.0,0.0022221912599493725,-23.263519268468496
90,CO,PW91,520,1,0,0.0,-14.81917662,0.132043885,298.15,0.08993306947382237,-14.597199665526178,-1.144812342975661,100000.0,0.002050208777420872,-15.20846941251421
91,HCOOH,PW91,520,1,0,0.0,-29.98007073,0.8881759094999999,298.15,0.1128605228760684,-28.979034297623933,-3.9244514030036863,5714.155064883787,0.0028273966437476305,-29.82202260695729
92,CH3OH,PW91,520,1,0,0.0,-30.33717702,1.3566177794999998,298.15,0.1175805466326938,-28.862978693867305,-2.0814769872284744,16938.450392599163,0.002630219436514247,-29.64717861886403
93,CH4,PW91,520,1,0,0.0,-24.12803153,1.1860281795,298.15,0.1039581442594999,-22.8380452062405,-0.7762174598206185,100000.0,0.0019315208646674652,-23.413928152041105
94,C2H4,PW91,520,1,0,0.0,-32.08873936,1.3552543315,298.15,0.10907931892826217,-30.624405709571736,0.5420512987574153,100000.0,0.002273265649883275,-31.302179863084433
95,C2H6,PW91,520,1,0,0.0,-40.64697997,1.97826754,298.15,0.12133015291524618,-38.54738227708475,-0.8716184884019238,100000.0,0.002364748128136953,-39.252431931488786
96,CH2O,PW91,520,1,0,0.0,-22.21397054,0.70042866,298.15,0.10392600018909093,-21.409615879810907,,100000.0,0.0022690069741541996,-22.086120309154982
97,N2,PW91,520,1,0,0.0,-16.68550293,0.149114127,298.15,0.08992670940319483,-16.446462093596804,0.0,100000.0,0.001987276767984957,-17.03896866197152
98,NH3,PW91,520,1,0,0.0,-19.61443824,0.911889454,298.15,0.10390548308038627,-18.598643302919612,-0.47700514290652546,100000.0,0.0019969493479613143,-19.194033751014278
99,H2O,PW91,520,1,0,0.1,-14.63156804,0.560875414,298.15,0.102893168538161,-13.967799457461838,-2.506445205454288,3166.74874006291,0.0022570799803436317,-14.640747853601292
100,H2,PW91,520,1,0,0.1,-6.81839033,0.26830192399999997,298.15,0.0899239968576604,-6.460164409142339,0.0,100000.0,0.001352827002951075,-6.863509780072202
101,O2,PW91,520,1,0,0.1,-9.80701731,0.096647858,298.15,0.09002848812962658,-9.620340963870374,0.0,100000.0,0.002129244131164697,-10.255175101577128
102,H2O2,PW91,520,1,0,0.1,-18.67206578,0.6911254170000001,298.15,0.11630905534060276,-17.864631307659398,-1.4093333767692797,100000.0,0.002378852973088128,-18.573886321585622
103,CO2,PW91,520,1,0,0.1,-23.16124181,0.302956418,298.15,0.09824006961228532,-22.760045322387715,-4.080562177045822,100000.0,0.002223202821971227,-23.422893243758438
104,CO,PW91,520,1,0,0.1,-14.86344156,0.1317910425,298.15,0.08993323210788667,-14.641717285392113,-1.144812342975661,100000.0,0.0020501507885941177,-15.25296974301145
105,HCOOH,PW91,520,1,0,0.1,-30.37625983,0.8845781465,298.15,0.11304731629519171,-29.378634367204807,-3.9244514030036863,5714.155064883787,0.002828256972552481,-30.22187918357133
